Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1	Total
OG0000118	2	3	2	2	3	1	2	2	1	2	1	2	23
OG0000119	1	1	1	0	2	1	1	4	2	1	3	6	23
OG0000120	2	0	2	0	2	3	5	1	4	2	1	1	23
OG0000121	0	3	5	4	1	3	1	1	0	2	1	2	23
OG0000122	0	1	4	3	2	3	1	2	1	3	2	1	23
OG0000123	0	1	2	4	1	2	0	2	2	2	4	3	23
OG0000124	0	0	1	2	0	1	0	18	0	0	0	1	23
OG0000125	0	0	1	3	2	7	4	3	0	2	1	0	23
OG0000126	2	2	2	1	2	2	2	1	1	1	2	4	22
OG0000127	2	2	1	1	2	2	4	2	2	2	0	2	22
OG0000128	2	2	2	2	2	2	2	2	1	1	2	2	22
OG0000129	2	1	1	2	2	2	1	0	1	1	3	6	22
OG0000130	1	1	2	2	1	3	2	0	3	2	3	2	22
OG0000131	2	2	2	2	1	2	1	2	2	3	1	2	22
OG0000132	1	1	0	1	3	4	2	1	3	2	4	0	22
OG0000133	1	3	2	2	3	1	2	2	1	2	1	2	22
OG0000134	3	2	2	2	2	2	2	2	1	1	1	2	22
OG0000135	1	2	2	1	1	5	2	2	2	2	0	2	22
OG0000136	1	2	2	2	2	2	2	2	1	2	1	3	22
OG0000137	0	3	4	6	1	1	0	1	2	2	0	2	22
OG0000138	0	0	2	1	1	5	2	2	2	2	1	4	22
OG0000139	0	0	0	4	0	12	1	0	0	2	3	0	22
OG0000140	0	0	0	0	21	0	0	0	0	0	1	0	22
OG0000141	8	1	1	2	2	0	1	2	0	1	0	3	21
OG0000142	2	2	2	3	2	2	2	2	1	1	1	1	21
OG0000143	1	2	2	2	1	1	1	1	3	1	2	4	21
OG0000144	2	2	2	2	1	2	2	1	1	2	3	1	21
OG0000145	1	2	4	2	1	3	1	2	1	1	1	2	21
OG0000146	3	0	0	0	3	2	2	0	5	4	2	0	21
OG0000147	1	1	2	3	1	2	2	1	1	1	3	3	21
OG0000148	1	0	0	1	2	5	4	2	2	0	0	4	21
OG0000149	1	3	4	1	0	3	1	0	2	1	5	0	21
OG0000150	1	3	3	3	1	2	2	2	1	1	1	1	21
OG0000151	1	1	1	2	2	5	2	1	2	1	2	1	21
OG0000152	0	2	2	2	2	2	2	2	3	2	2	0	21
OG0000153	0	2	2	0	2	3	4	1	3	2	2	0	21
OG0000154	0	1	2	1	1	2	2	1	2	2	2	5	21
OG0000155	0	2	0	2	3	2	3	2	2	1	3	1	21
OG0000156	0	0	1	2	1	4	5	2	0	2	1	3	21
OG0000157	0	0	0	0	0	1	0	0	12	7	0	1	21
OG0000158	2	1	1	2	0	2	3	0	3	0	1	5	20
OG0000159	1	5	2	1	0	5	1	0	2	2	1	0	20
OG0000160	1	1	1	1	2	2	3	1	1	1	3	3	20
OG0000161	1	1	0	1	1	2	2	4	2	3	1	2	20
OG0000162	1	1	1	1	1	2	5	1	2	3	0	2	20
OG0000163	1	2	2	2	2	2	2	2	1	1	2	1	20
OG0000164	2	1	1	1	2	2	2	2	2	2	1	2	20
OG0000165	3	1	1	1	1	2	1	1	1	2	4	2	20
OG0000166	2	2	2	2	1	2	2	1	2	1	1	2	20
OG0000167	2	2	2	2	3	1	3	1	1	1	2	0	20
OG0000168	3	1	1	0	0	1	0	0	4	4	4	2	20
OG0000169	1	1	2	2	1	3	2	1	2	2	1	2	20
OG0000170	3	1	1	2	1	2	1	3	1	1	1	3	20
OG0000171	1	3	3	2	2	4	2	2	0	0	1	0	20
OG0000172	4	1	1	1	1	1	1	1	1	3	3	2	20
OG0000173	1	2	1	1	1	2	2	1	0	1	2	6	20
